                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.98216,                0.68597,                0.90965,                0.19407,                0.01562,                 0.0157,                0.00471,                   4.12,                 9.0151,                 2.8167,              0.0008318,              0.0008318,              0.0008318
                    120,                 0.9838,                0.68734,                0.95264,                0.66118,                0.01562,                0.01591,                0.00477,                 4.2915,                  8.155,                 2.8781,              0.0008219,              0.0008219,              0.0008219
                    121,                0.91419,                0.62447,                0.98378,                0.36665,                0.01562,                0.01592,                0.00637,                 4.2014,                 8.1516,                 2.7759,               0.000812,               0.000812,               0.000812
                    122,                0.89106,                 0.6655,                0.95497,                0.16176,                0.01562,                0.00819,                0.00327,                 4.2248,                  8.935,                  2.686,              0.0008021,              0.0008021,              0.0008021
                    123,                0.93771,                0.62327,                0.97512,                0.18872,                0.01562,                 0.0081,                0.00243,                  4.179,                 8.4707,                 2.7572,              0.0007922,              0.0007922,              0.0007922
                    124,                0.94476,                0.70261,                0.94092,                0.15952,                0.01562,                0.00819,                0.00246,                 4.1317,                 8.6886,                 2.7729,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.0498,                0.83954,                0.92017,                 0.1603,                0.01562,                0.00829,                0.00249,                 4.1008,                 8.7504,                 2.7798,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.0551,                0.78525,                0.93833,                0.22599,                0.01562,                0.00816,                0.00245,                 4.1215,                 7.9294,                 2.7668,              0.0007625,              0.0007625,              0.0007625
                    127,                0.90695,                0.60982,                0.94108,                0.12438,                0.01562,                0.00802,                0.00321,                  4.061,                 8.0379,                 2.6511,              0.0007526,              0.0007526,              0.0007526
                    128,                  0.814,                0.56551,                0.88868,                0.03786,                0.01562,                 0.0016,                0.00064,                 4.2314,                 8.7782,                 2.5745,              0.0007427,              0.0007427,              0.0007427
                    129,                0.90151,                0.65734,                0.92503,                0.03632,                0.01562,                 0.0014,                0.00042,                 4.3047,                 8.5541,                 2.6209,              0.0007328,              0.0007328,              0.0007328
                    130,                0.86065,                0.66601,                 0.8823,                0.05096,                0.01562,                0.00225,                0.00067,                 4.0782,                 8.2637,                 2.6785,              0.0007229,              0.0007229,              0.0007229
                    131,                0.95398,                0.66201,                0.95252,                0.10126,                0.01562,                0.00308,                0.00092,                 4.0543,                 8.5003,                 2.7263,               0.000713,               0.000713,               0.000713
                    132,                0.86583,                 0.6542,                 0.9092,                0.10516,                0.01562,                0.00293,                0.00117,                 4.1124,                 8.7956,                 2.8161,              0.0007031,              0.0007031,              0.0007031
                    133,                 0.9157,                 0.6342,                0.93253,                0.10512,                0.01562,                0.00348,                0.00139,                 4.0291,                 8.8288,                 2.8645,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.0143,                0.69374,                0.90631,                0.08734,                0.01562,                0.00302,                0.00121,                 4.3358,                 9.2506,                 2.9114,              0.0006833,              0.0006833,              0.0006833
                    135,                0.90232,                0.71208,                0.96099,                0.07459,                0.01562,                0.00302,                0.00121,                 4.3357,                 9.5757,                  2.826,              0.0006734,              0.0006734,              0.0006734
                    136,                0.82896,                0.62333,                0.93292,                0.06373,                0.01562,                0.00321,                0.00128,                 4.3762,                 9.9958,                  2.755,              0.0006635,              0.0006635,              0.0006635
                    137,                0.86705,                0.60132,                0.93538,                0.05292,                0.01562,                0.00282,                0.00113,                 4.3867,                 10.522,                 2.8128,              0.0006536,              0.0006536,              0.0006536
                    138,                0.88279,                0.67414,                0.91658,                0.04309,                0.01562,                0.00204,                0.00082,                 4.5928,                 10.952,                 2.8089,              0.0006437,              0.0006437,              0.0006437
                    139,                0.84584,                0.58198,                0.87208,                0.04409,                0.01562,                0.00198,                0.00059,                 4.2352,                 9.6152,                 2.6295,              0.0006338,              0.0006338,              0.0006338
                    140,                0.82688,                0.61559,                0.93563,                0.04424,                0.01562,                0.00186,                0.00056,                 4.0574,                 9.2564,                 2.6667,              0.0006239,              0.0006239,              0.0006239
                    141,                0.82167,                0.62022,                0.93042,                0.06686,                0.01562,                 0.0044,                0.00176,                 4.0844,                 9.4512,                 2.6726,               0.000614,               0.000614,               0.000614
                    142,                0.84012,                0.62548,                0.91828,                0.06548,                0.01562,                0.00807,                0.00323,                 4.0585,                 10.103,                  2.745,              0.0006041,              0.0006041,              0.0006041
                    143,                0.81731,                 0.6077,                0.90323,                0.06342,                0.01562,                0.00438,                0.00131,                 3.8536,                 10.321,                 2.7124,              0.0005942,              0.0005942,              0.0005942
